Identifiant borne;Nom de la station;Type de connecteur;Statut de disponibilité;Présence câble attaché;Numéro de la voie;Ouverture au service commercial;Nom du réseau de charge;Propriétaire des bornes;Intitulé de la voie;Code postal;Ville;Pays;Coordonnées géographiques
FR*V75*EBELI*76*1*1;AVENUE HENRI MARTIN;T3;Disponible;Non;101;Oui;BELIB;;AVENUE HENRI MARTIN;75016;Paris;France;48.863602,2.27153
FR*V75*EBELI*81*1*1;AVENUE DE SAINT OUEN;Combo;Disponible;Oui;60;Oui;BELIB;;AVENUE DE SAINT OUEN;75018;Paris;France;48.891102,2.327102
FR*V75*EBELI*97*1*3;Docteur Goujon;T3;Occupé;Non;5;Oui;BELIB;;Rue Docteur Goujon;75012;Paris;France;48.839947,2.397822
FR*V75*EBELI*89*1*3;RUE ADOLPHE MILLE;CHAdeMO;Disponible;Oui;9;Oui;BELIB;;RUE ADOLPHE MILLE;75019;Paris;France;48.88842,2.388149
FR*V75*EBELI*58*1*1;RUE DE COURCELLES;T2;Occupé;Non;83;Oui;BELIB;;RUE DE COURCELLES;75017;Paris;France;48.879654,2.302442
FR*V75*EBELI*36*1*1;AVENUE BOSQUET;T2;Neutralisé;Non;47;Oui;BELIB;;AV BOSQUET;75007;Paris;France;48.857552,2.30437
FR*V75*EBELI*77*1*1;AVENUE MARCEL DORET;E/F;Disponible;Non;4;Oui;BELIB;;AVENUE MARCEL DORET;75016;Paris;France;48.837055,2.259932
FR*V75*EBELI*77*1*3;AVENUE MARCEL DORET;T3;Disponible;Non;4;Oui;BELIB;;AVENUE MARCEL DORET;75016;Paris;France;48.837055,2.259932
FR*V75*EBELI*69*1*1;BOULEVARD DIDEROT;CHAdeMO;Disponible;Oui;126;Oui;BELIB;;BOULEVARD DIDEROT;75012;Paris;France;48.847446,2.38804
FR*V75*EBELI*69*1*1;BOULEVARD DIDEROT;T3;Disponible;Non;126;Oui;BELIB;;BOULEVARD DIDEROT;75012;Paris;France;48.847446,2.38804
FR*V75*EBELI*46*1*1;COURS DE VINCENNES;Combo;Disponible;Oui;66;Oui;BELIB;;COURS DE VINCENNES;75012;Paris;France;48.847485,2.401736
FR*V75*EBELI*96*1*1;Berbier du Mets;CHAdeMO;Neutralisé;Oui;21;Oui;BELIB;;Rue Berbier du Mets;75013;Paris;France;48.835499,2.34965
FR*V75*EBELI*31*1*1;RUE SAINT JACQUES;E/F;Disponible;Non;32;Oui;BELIB;;RUE SAINT JACQUES;75005;Paris;France;48.85104,2.345493
FR*V75*EBELI*88*1*1;RUE REGNAULT;T2;Disponible;Non;118;Oui;BELIB;;RUE REGNAULT;75013;Paris;France;48.82312,2.367798
FR*V75*EBELI*18*1*1;RUE CHARDON LAGACHE;CHAdeMO;Neutralisé;Oui;2;Oui;BELIB;;RUE CHARDON LAGACHE;75016;Paris;France;48.846761,2.268339
FR*V75*EBELI*94*1*3;Rue Baron Leroy;T3;Disponible;Non;54;Oui;BELIB;;Rue Baron Leroy;75013;Paris;France;48.833603,2.389173
FR*V75*EBELI*70*1*1;AVENUE DU GENERAL DODDS;Combo;Disponible;Oui;3;Oui;BELIB;;AVENUE DU GENERAL DODDS;75012;Paris;France;48.834084,2.405248
FR*V75*EBELI*70*1*2;AVENUE DU GENERAL DODDS;E/F;Occupé;Non;3;Oui;BELIB;;AVENUE DU GENERAL DODDS;75012;Paris;France;48.834084,2.405248
FR*V75*EBELI*42*1*1;RUE LOUIS MURAT;T3;Disponible;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*62*1*1;72 RUE DE ROME;E/F;Occupé;Non;72;Oui;BELIB;;RUE DE ROME;75008;Paris;France;48.880698,2.321369
FR*V75*EBELI*15*1*3;RUE ABEL;Combo;Disponible;Oui;2;Oui;BELIB;;Rue Abel;75012;Paris;France;48.846295,2.3748774
FR*V75*EBELI*15*1*1;RUE ABEL;E/F;Occupé;Non;2;Oui;BELIB;;Rue Abel;75012;Paris;France;48.846295,2.3748774
FR*V75*EBELI*79*1*1;BOULEVARD DE COURCELLES;T3;Disponible;Non;12;Oui;BELIB;;BOULEVARD DE COURCELLES;75017;Paris;France;48.881168,2.313751
FR*V75*EBELI*10*1*1;AVENUE DU PÈRE LACHAISE;T2;Hors communication;Non;13;Oui;BELIB;;AVENUE DU PÈRE LACHAISE;75020;Paris;France;48.86424,2.397724
FR*V75*EBELI*23*1*3;RUE SAINT MAUR;CHAdeMO;Hors communication;Oui;94;Oui;BELIB;;Rue Saint-Maur;75011;Paris;France;48.865358,2.3779388
FR*V75*EBELI*22*1*3;RUE LECOURBE;T2;En diagnostic;Non;170;Oui;BELIB;;RUE LECOURBE;75015;Paris;France;48.841529,2.298576
FR*V75*EBELI*22*1*1;RUE LECOURBE;T3;En diagnostic;Non;170;Oui;BELIB;;RUE LECOURBE;75015;Paris;France;48.841529,2.298576
FR*V75*EBELI*56*1*1;RUE ANTONIN MERCIE;T3;En diagnostic;Non;2;Oui;BELIB;;Rue Antonin Mercié;75015;Paris;France;48.828454,2.3006428
FR*V75*EBELI*72*1*1;RUE DE L'AMIRAL MOUCHEZ;T2;Hors communication;Non;77;Oui;BELIB;;RUE DE L'AMIRAL MOUCHEZ;75013;Paris;France;48.82085,2.343626
FR*V75*EBELI*87*1*1;RUE BOULEVARD DU TEMPLE;T2;Disponible;Non;27;Oui;BELIB;;BOULEVARD DU TEMPLE;75003;Paris;France;48.865097,2.36554
FR*V75*EBELI*87*1*3;RUE BOULEVARD DU TEMPLE;Combo;Disponible;Oui;27;Oui;BELIB;;BOULEVARD DU TEMPLE;75003;Paris;France;48.865097,2.36554
FR*SOD*E*BELI*25*1*3*_;RUE ORDENER 2;T3;Disponible;Non;27;Oui;;;RUE ORDENER;75018;Paris;;48.89311,2.34066
FR*V75*EBELI*25*1*3;RUE ORDENER 2;Combo;Hors communication;Oui;27;Oui;BELIB;;RUE ORDENER;75018;Paris;;48.89311,2.34066
FR*V75*EBELI*6*1*1;PLACE ARMAND CARREL;T2;Hors communication;Non;4;Oui;BELIB;;PLACE ARMAND CARREL;75019;Paris;France;48.882794,2.382705
FR*V75*EBELI*57*1*3;AVENUE GOURGAUD;CHAdeMO;Disponible;Oui;4;Oui;BELIB;;AV GOURGAUD;75017;Paris;France;48.885689,2.297463
FR*V75*EBELI*60*1*2;AVENUE GAMBETTA;E/F;Disponible;Non;227;Oui;BELIB;;AVENUE GAMBETTA;75020;Paris;France;48.874134,2.405196
FR*V75*EBELI*60*1*1;AVENUE GAMBETTA;T3;Disponible;Non;227;Oui;BELIB;;AVENUE GAMBETTA;75020;Paris;France;48.874134,2.405196
FR*V75*EBELI*64*1*3;52 RUE ETIENNE MARCEL;T2;Disponible;Non;52;Oui;BELIB;;RUE ETIENNE MARCEL;75002;Paris;France;48.865788,2.342244
FR*V75*EBELI*53*1*3;RUE DESNOUETTES;Combo;En diagnostic;Oui;55;Oui;BELIB;;RUE DESNOUETTES;75015;Paris;France;48.835709,2.286912
FR*V75*EBELI*99*1*3;Rue de Crimée;Combo;Disponible;Oui;14;Oui;BELIB;;rue de Crimée;75019;Paris;France;48.8778,2.39182
FR*V75*EBELI*41*1*1;RUE PIERRE CHARRON;Combo;Disponible;Oui;55;Oui;BELIB;;RUE PIERRE CHARRON;75008;Paris;France;48.86937,2.303269
FR*V75*EBELI*82*1*1;RUE RIQUET;E/F;Neutralisé;Non;39;Oui;BELIB;;RUE RIQUET;75019;Paris;France;48.889011,2.371768
FR*V75*EBELI*92*1*1;Rue de La Convention;T3;Disponible;Non;99;Oui;BELIB;;Rue de la Convention;75015;Paris;France;48.841663,2.286931
FR*V75*EBELI*49*1*1;RUE DIDOT;CHAdeMO;Disponible;Oui;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*17*1*1;RUE CHANGARNIER;CHAdeMO;Disponible;Oui;4;Oui;BELIB;;Rue Changarnier;75012;Paris;France;48.8452653,2.4112383
FR*V75*EBELI*11*1*3;AVENUE PAUL DOUMER;Combo;Disponible;Oui;24;Oui;BELIB;;AVENUE PAUL DOUMER;75016;Paris;France;48.861016,2.28308
FR*V75*EBELI*11*1*1;AVENUE PAUL DOUMER;E/F;Disponible;Non;24;Oui;BELIB;;AVENUE PAUL DOUMER;75016;Paris;France;48.861016,2.28308
FR*V75*EBELI*59*1*1;AVENUE DE LA PORTE DE VILLIERS;E/F;Disponible;Non;2;Oui;BELIB;;AV DE LA PORTE DE VILLIERS;75017;Paris;France;48.883282,2.286938
FR*V75*EBELI*24*1*1;RUE VILLIOT;Combo;Disponible;Oui;20;Oui;BELIB;;RUE VILLIOT;75012;Paris;France;48.841742,2.375639
FR*V75*EBELI*21*1*3;RUE DE TOLBIAC;E/F;Disponible;Non;145;Oui;BELIB;;Rue de Tolbiac;75013;Paris;France;48.8260387,2.3581456
FR*V75*EBELI*21*1*3;RUE DE TOLBIAC;CHAdeMO;Disponible;Oui;145;Oui;BELIB;;Rue de Tolbiac;75013;Paris;France;48.8260387,2.3581456
FR*V75*EBELI*75*1*3;AVENUE EMILE ZOLA;T3;Disponible;Non;18;Oui;BELIB;;AVENUE EMILE ZOLA;75015;Paris;France;48.846214,2.279884
FR*V75*EBELI*81*1*3;AVENUE DE SAINT OUEN;E/F;Disponible;Non;60;Oui;BELIB;;AVENUE DE SAINT OUEN;75018;Paris;France;48.891102,2.327102
FR*V75*EBELI*89*1*1;RUE ADOLPHE MILLE;Combo;Disponible;Oui;9;Oui;BELIB;;RUE ADOLPHE MILLE;75019;Paris;France;48.88842,2.388149
FR*V75*EBELI*67*1*3;PLACE DU COLONEL FABIEN;Combo;Disponible;Oui;9;Oui;BELIB;;PLACE DU COLONEL FABIEN;75010;Paris;France;48.878799,2.368851
FR*V75*EBELI*36*1*3;AVENUE BOSQUET;T3;Occupé;Non;47;Oui;BELIB;;AV BOSQUET;75007;Paris;France;48.857552,2.30437
FR*V75*EBELI*4*1*3;AVENUE VICTOR HUGO;T3;Neutralisé;Non;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*4*1*3;AVENUE VICTOR HUGO;Combo;Neutralisé;Oui;45;Oui;BELIB;;AVENUE VICTOR HUGO;75016;Paris;France;48.871465,2.289894
FR*V75*EBELI*63*1*1;BOULEVARD DES CAPUCINES;Combo;Disponible;Oui;7;Oui;BELIB;;BOULEVARD DES CAPUCINES;75002;Paris;France;48.870628,2.33321
FR*V75*EBELI*31*1*3;RUE SAINT JACQUES;E/F;Disponible;Non;32;Oui;BELIB;;RUE SAINT JACQUES;75005;Paris;France;48.85104,2.345493
FR*V75*EBELI*31*1*3;RUE SAINT JACQUES;Combo;Disponible;Oui;32;Oui;BELIB;;RUE SAINT JACQUES;75005;Paris;France;48.85104,2.345493
FR*V75*EBELI*74*1*1;RUE DE VOUILLE;E/F;Occupé;Non;25;Oui;BELIB;;RUE DE VOUILLE;75015;Paris;France;48.834705,2.305529
FR*V75*EBELI*42*1*3;RUE LOUIS MURAT;T2;Disponible;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*42*1*1;RUE LOUIS MURAT;T2;Disponible;Non;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*38*1*1;RUE PERIGNON;T2;Disponible;Non;2;Oui;BELIB;;RUE PERIGNON;75007;Paris;France;48.847931,2.309952
FR*V75*EBELI*71*1*1;234 RUE DE TOLBIAC;T2;Disponible;Non;234;Oui;BELIB;;RUE DE TOLBIAC;75013;Paris;France;48.826504,2.343366
FR*V75*EBELI*79*1*2;BOULEVARD DE COURCELLES;E/F;Neutralisé;Non;12;Oui;BELIB;;BOULEVARD DE COURCELLES;75017;Paris;France;48.881168,2.313751
FR*V75*EBELI*22*1*1;RUE LECOURBE;T2;En diagnostic;Non;170;Oui;BELIB;;RUE LECOURBE;75015;Paris;France;48.841529,2.298576
FR*V75*EBELI*22*1*1;RUE LECOURBE;Combo;En diagnostic;Oui;170;Oui;BELIB;;RUE LECOURBE;75015;Paris;France;48.841529,2.298576
FR*V75*EBELI*29*1*1;QUAI DU MARCHE NEUF;CHAdeMO;Hors communication;Oui;4;Oui;BELIB;;QUAI DU MARCHE NEUF;75004;Paris;France;48.854057,2.34556
FR*V75*EBELI*29*1*1;QUAI DU MARCHE NEUF;E/F;Hors communication;Non;4;Oui;BELIB;;QUAI DU MARCHE NEUF;75004;Paris;France;48.854057,2.34556
FR*V75*EBELI*2*1*3;RUE LA FAYETTE;T2;En diagnostic;Non;137;Oui;BELIB;;RUE LA FAYETTE;75010;Paris;France;48.878897,2.355064
FR*V75*EBELI*65*1*1;RUE DE MEDICIS;Combo;Hors communication;Oui;11;Oui;BELIB;;RUE DE MEDICIS;75006;Paris;France;48.84824,2.339865
FR*V75*EBELI*6*1*3;PLACE ARMAND CARREL;E/F;Hors communication;Non;4;Oui;BELIB;;PLACE ARMAND CARREL;75019;Paris;France;48.882794,2.382705
FR*V75*EBELI*26*1*3;RUE ETIENNE MARCEL;Combo;Neutralisé;Oui;44;Oui;BELIB;;RUE ETIENNE MARCEL;75001;Paris;France;48.865311,2.343436
FR*V75*EBELI*83*1*1;BOULEVARD SERURIER;CHAdeMO;Disponible;Oui;54;Oui;BELIB;;BOULEVARD SERURIER;75019;Paris;France;48.880421,2.398476
FR*V75*EBELI*83*1*1;BOULEVARD SERURIER;E/F;Disponible;Non;54;Oui;BELIB;;BOULEVARD SERURIER;75019;Paris;France;48.880421,2.398476
FR*V75*EBELI*95*1*1;Paris - avenue iena;CHAdeMO;Hors communication;Oui;37;Oui;BELIB;;Avenue iena;75016;Paris;France;48.868511,2.295469
FR*V75*EBELI*27*1*3;RUE DE L'AMIRAL DE COLIGNY;CHAdeMO;Neutralisé;Oui;1;Oui;BELIB;;RUE DE L'AMIRAL DE COLIGNY;75001;Paris;France;48.86003,2.34046
FR*V75*EBELI*27*1*1;RUE DE L'AMIRAL DE COLIGNY;T2;Disponible;Non;1;Oui;BELIB;;RUE DE L'AMIRAL DE COLIGNY;75001;Paris;France;48.86003,2.34046
FR*V75*EBELI*64*1*2;52 RUE ETIENNE MARCEL;E/F;Disponible;Non;52;Oui;BELIB;;RUE ETIENNE MARCEL;75002;Paris;France;48.865788,2.342244
FR*V75*EBELI*53*1*1;RUE DESNOUETTES;Combo;En diagnostic;Oui;55;Oui;BELIB;;RUE DESNOUETTES;75015;Paris;France;48.835709,2.286912
FR*V75*EBELI*99*1*1;Rue de Crimée;E/F;Disponible;Non;14;Oui;BELIB;;rue de Crimée;75019;Paris;France;48.8778,2.39182
FR*V75*EBELI*39*1*1;AVENUE DE VILLARS;CHAdeMO;Disponible;Oui;9;Oui;BELIB;;AVENUE DE VILLARS;75007;Paris;France;48.852665,2.31368
FR*V75*EBELI*66*1*3;RUE DE SEVRES;CHAdeMO;Hors communication;Oui;20;Oui;BELIB;;RUE DE SEVRES;75007;Paris;France;48.851025,2.326367
FR*V75*EBELI*82*1*2;RUE RIQUET;E/F;Disponible;Non;39;Oui;BELIB;;RUE RIQUET;75019;Paris;France;48.889011,2.371768
FR*V75*EBELI*37*1*1;RUE DU BAC;CHAdeMO;Disponible;Oui;35;Oui;BELIB;;RUE DU BAC;75007;Paris;France;48.857124,2.327753
FR*V75*EBELI*37*1*3;RUE DU BAC;E/F;Disponible;Non;35;Oui;BELIB;;RUE DU BAC;75007;Paris;France;48.857124,2.327753
FR*V75*EBELI*20*1*3;81 RUE DE ROME;Combo;Neutralisé;Oui;81;Oui;BELIB;;RUE DE ROME;75017;Paris;France;48.882718,2.319768
FR*V75*EBELI*20*1*1;81 RUE DE ROME;E/F;Disponible;Non;81;Oui;BELIB;;RUE DE ROME;75017;Paris;France;48.882718,2.319768
FR*V75*EBELI*49*1*3;RUE DIDOT;Combo;Disponible;Oui;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*49*1*3;RUE DIDOT;E/F;Disponible;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*49*1*3;RUE DIDOT;T3;Disponible;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*49*1*2;RUE DIDOT;E/F;Neutralisé;Non;47;Oui;BELIB;;RUE DIDOT;75014;Paris;France;48.831448,2.320052
FR*V75*EBELI*86*1*1;RUE ORDENER;CHAdeMO;Disponible;Oui;108;Oui;BELIB;;RUE ORDENER;75018;Paris;France;48.89061,2.35423
FR*V75*EBELI*86*1*3;RUE ORDENER;CHAdeMO;Disponible;Oui;108;Oui;BELIB;;RUE ORDENER;75018;Paris;France;48.89061,2.35423
FR*V75*EBELI*80*1*1;RUE DES POISSONIERS;T3;Disponible;Non;150;Oui;BELIB;;RUE DES POISSONIERS;75018;Paris;France;48.897671,2.352758
FR*V75*EBELI*1*1*3;Place Saint Gervais;Combo;Occupé;Oui;4;Oui;BELIB;;PLACE SAINT GERVAIS;75004;Paris;France;48.855667,2.354089
FR*V75*EBELI*1*1*3;Place Saint Gervais;E/F;Occupé;Non;4;Oui;BELIB;;PLACE SAINT GERVAIS;75004;Paris;France;48.855667,2.354089
FR*V75*EBELI*5*1*3;AV DUTUIT;E/F;Disponible;Non;3;Oui;BELIB;;AV DUTUIT;75008;Paris;France;48.865501,2.315463
FR*V75*EBELI*30*1*3;PLACE DU PANTHEON;CHAdeMO;Occupé;Oui;17;Oui;BELIB;;PLACE DU PANTHEON;75005;Paris;France;48.845715,2.345032
FR*V75*EBELI*76*1*1;AVENUE HENRI MARTIN;E/F;Disponible;Non;101;Oui;BELIB;;AVENUE HENRI MARTIN;75016;Paris;France;48.863602,2.27153
FR*V75*EBELI*97*1*1;Docteur Goujon;CHAdeMO;Neutralisé;Oui;5;Oui;BELIB;;Rue Docteur Goujon;75012;Paris;France;48.839947,2.397822
FR*V75*EBELI*97*1*1;Docteur Goujon;E/F;Neutralisé;Non;5;Oui;BELIB;;Rue Docteur Goujon;75012;Paris;France;48.839947,2.397822
FR*V75*EBELI*9*1*3;AVENUE DES TERNES;T3;Neutralisé;Non;36;Oui;BELIB;;AVENUE DES TERNES;75017;Paris;France;48.878965,2.293606
FR*V75*EBELI*9*1*1;AVENUE DES TERNES;T3;Disponible;Non;36;Oui;BELIB;;AVENUE DES TERNES;75017;Paris;France;48.878965,2.293606
FR*V75*EBELI*36*1*3;AVENUE BOSQUET;Combo;Occupé;Oui;47;Oui;BELIB;;AV BOSQUET;75007;Paris;France;48.857552,2.30437
FR*V75*EBELI*63*1*3;BOULEVARD DES CAPUCINES;CHAdeMO;Disponible;Oui;7;Oui;BELIB;;BOULEVARD DES CAPUCINES;75002;Paris;France;48.870628,2.33321
FR*V75*EBELI*31*1*1;RUE SAINT JACQUES;Combo;Disponible;Oui;32;Oui;BELIB;;RUE SAINT JACQUES;75005;Paris;France;48.85104,2.345493
FR*V75*EBELI*31*1*1;RUE SAINT JACQUES;CHAdeMO;Disponible;Oui;32;Oui;BELIB;;RUE SAINT JACQUES;75005;Paris;France;48.85104,2.345493
FR*V75*EBELI*74*1*1;RUE DE VOUILLE;CHAdeMO;Occupé;Oui;25;Oui;BELIB;;RUE DE VOUILLE;75015;Paris;France;48.834705,2.305529
FR*V75*EBELI*74*1*3;RUE DE VOUILLE;T2;Disponible;Non;25;Oui;BELIB;;RUE DE VOUILLE;75015;Paris;France;48.834705,2.305529
FR*V75*EBELI*18*1*3;RUE CHARDON LAGACHE;E/F;Disponible;Non;2;Oui;BELIB;;RUE CHARDON LAGACHE;75016;Paris;France;48.846761,2.268339
FR*V75*EBELI*18*1*1;RUE CHARDON LAGACHE;T3;Neutralisé;Non;2;Oui;BELIB;;RUE CHARDON LAGACHE;75016;Paris;France;48.846761,2.268339
FR*V75*EBELI*94*1*1;Rue Baron Leroy;CHAdeMO;Disponible;Oui;54;Oui;BELIB;;Rue Baron Leroy;75013;Paris;France;48.833603,2.389173
FR*V75*EBELI*94*1*1;Rue Baron Leroy;T3;Disponible;Non;54;Oui;BELIB;;Rue Baron Leroy;75013;Paris;France;48.833603,2.389173
FR*V75*EBELI*70*1*3;AVENUE DU GENERAL DODDS;Combo;Disponible;Oui;3;Oui;BELIB;;AVENUE DU GENERAL DODDS;75012;Paris;France;48.834084,2.405248
FR*V75*EBELI*42*1*1;RUE LOUIS MURAT;Combo;Disponible;Oui;2;Oui;BELIB;;RUE LOUIS MURAT;75008;Paris;France;48.875854,2.309542
FR*V75*EBELI*22*1*3;RUE LECOURBE;E/F;En diagnostic;Non;170;Oui;BELIB;;RUE LECOURBE;75015;Paris;France;48.841529,2.298576
FR*V75*EBELI*22*1*2;RUE LECOURBE;E/F;En diagnostic;Non;170;Oui;BELIB;;RUE LECOURBE;75015;Paris;France;48.841529,2.298576
FR*V75*EBELI*6*1*3;PLACE ARMAND CARREL;T2;Hors communication;Non;4;Oui;BELIB;;PLACE ARMAND CARREL;75019;Paris;France;48.882794,2.382705
FR*V75*EBELI*83*1*1;BOULEVARD SERURIER;Combo;Disponible;Oui;54;Oui;BELIB;;BOULEVARD SERURIER;75019;Paris;France;48.880421,2.398476
FR*V75*EBELI*47*1*1;BOULEVARD MASSENA;CHAdeMO;En diagnostic;Oui;107;Oui;BELIB;;BOULEVARD MASSENA;75013;Paris;France;48.820007,2.365661
FR*V75*EBELI*98*1*3;Quai Henry IV;E/F;Disponible;Non;4;Oui;BELIB;;quai Henry IV;75004;Paris;France;48.84998,2.36192
FR*V75*EBELI*27*1*3;RUE DE L'AMIRAL DE COLIGNY;Combo;Neutralisé;Oui;1;Oui;BELIB;;RUE DE L'AMIRAL DE COLIGNY;75001;Paris;France;48.86003,2.34046
FR*V75*EBELI*27*1*1;RUE DE L'AMIRAL DE COLIGNY;T3;Disponible;Non;1;Oui;BELIB;;RUE DE L'AMIRAL DE COLIGNY;75001;Paris;France;48.86003,2.34046
FR*V75*EBELI*64*1*1;52 RUE ETIENNE MARCEL;T3;Disponible;Non;52;Oui;BELIB;;RUE ETIENNE MARCEL;75002;Paris;France;48.865788,2.342244
FR*V75*EBELI*64*1*3;52 RUE ETIENNE MARCEL;CHAdeMO;Disponible;Oui;52;Oui;BELIB;;RUE ETIENNE MARCEL;75002;Paris;France;48.865788,2.342244
FR*V75*EBELI*99*1*1;Rue de Crimée;T2;Disponible;Non;14;Oui;BELIB;;rue de Crimée;75019;Paris;France;48.8778,2.39182
FR*V75*EBELI*14*1*3;BOULEVARD DE VAUGIRARD;T2;Disponible;Non;43;Oui;BELIB;;BOULEVARD DE VAUGIRARD;75015;Paris;France;48.840977,2.317465
FR*V75*EBELI*14*1*1;BOULEVARD DE VAUGIRARD;CHAdeMO;Disponible;Oui;43;Oui;BELIB;;BOULEVARD DE VAUGIRARD;75015;Paris;France;48.840977,2.317465
FR*V75*EBELI*41*1*3;RUE PIERRE CHARRON;E/F;Neutralisé;Non;55;Oui;BELIB;;RUE PIERRE CHARRON;75008;Paris;France;48.86937,2.303269
FR*V75*EBELI*82*1*1;RUE RIQUET;CHAdeMO;Neutralisé;Oui;39;Oui;BELIB;;RUE RIQUET;75019;Paris;France;48.889011,2.371768
FR*V75*EBELI*82*1*3;RUE RIQUET;T2;Neutralisé;Non;39;Oui;BELIB;;RUE RIQUET;75019;Paris;France;48.889011,2.371768
FR*V75*EBELI*37*1*3;RUE DU BAC;Combo;Disponible;Oui;35;Oui;BELIB;;RUE DU BAC;75007;Paris;France;48.857124,2.327753
FR*V75*EBELI*20*1*2;81 RUE DE ROME;E/F;Disponible;Non;81;Oui;BELIB;;RUE DE ROME;75017;Paris;France;48.882718,2.319768
FR*V75*EBELI*35*1*1;AVENUE DE SAXE;Combo;Disponible;Oui;10;Oui;BELIB;;AV DE SAXE;75007;Paris;France;48.849911,2.307126
FR*V75*EBELI*59*1*3;AVENUE DE LA PORTE DE VILLIERS;E/F;Neutralisé;Non;2;Oui;BELIB;;AV DE LA PORTE DE VILLIERS;75017;Paris;France;48.883282,2.286938
FR*V75*EBELI*1*1*1;Place Saint Gervais;E/F;Neutralisé;Non;4;Oui;BELIB;;PLACE SAINT GERVAIS;75004;Paris;France;48.855667,2.354089
FR*V75*EBELI*24*1*3;RUE VILLIOT;T2;Disponible;Non;20;Oui;BELIB;;RUE VILLIOT;75012;Paris;France;48.841742,2.375639
FR*V75*EBELI*24*1*3;RUE VILLIOT;T3;Disponible;Non;20;Oui;BELIB;;RUE VILLIOT;75012;Paris;France;48.841742,2.375639
FR*V75*EBELI*12*1*2;AVENUE REILLE;E/F;Neutralisé;Non;46;Oui;BELIB;;AVENUE REILLE;75014;Paris;France;48.824388,2.336857
FR*V75*EBELI*50*1*1;AVENUE DU MAINE;Combo;Disponible;Oui;173;Oui;BELIB;;AV DU MAINE;75014;Paris;France;48.83086,2.325895
FR*V75*EBELI*21*1*1;RUE DE TOLBIAC;T3;En diagnostic;Non;145;Oui;BELIB;;Rue de Tolbiac;75013;Paris;France;48.8260387,2.3581456
FR*V75*EBELI*21*1*1;RUE DE TOLBIAC;E/F;En diagnostic;Non;145;Oui;BELIB;;Rue de Tolbiac;75013;Paris;France;48.8260387,2.3581456
FR*V75*EBELI*30*1*1;PLACE DU PANTHEON;Combo;Disponible;Oui;17;Oui;BELIB;;PLACE DU PANTHEON;75005;Paris;France;48.845715,2.345032
FR*V75*EBELI*58*1*3;RUE DE COURCELLES;T2;Disponible;Non;83;Oui;BELIB;;RUE DE COURCELLES;75017;Paris;France;48.879654,2.302442
FR*V75*EBELI*67*1*1;PLACE DU COLONEL FABIEN;CHAdeMO;Disponible;Oui;9;Oui;BELIB;;PLACE DU COLONEL FABIEN;75010;Paris;France;48.878799,2.368851
FR*V75*EBELI*67*1*1;PLACE DU COLONEL FABIEN;T2;Disponible;Non;9;Oui;BELIB;;PLACE DU COLONEL FABIEN;75010;Paris;France;48.878799,2.368851
FR*V75*EBELI*36*1*1;AVENUE BOSQUET;E/F;Neutralisé;Non;47;Oui;BELIB;;AV BOSQUET;75007;Paris;France;48.857552,2.30437
FR*V75*EBELI*45*1*3;AVENUE PARMENTIER;E/F;Disponible;Non;4;Oui;BELIB;;AVENUE PARMENTIER;75011;Paris;France;48.858952,2.379874
FR*V75*EBELI*45*1*1;AVENUE PARMENTIER;CHAdeMO;Disponible;Oui;4;Oui;BELIB;;AVENUE PARMENTIER;75011;Paris;France;48.858952,2.379874
FR*V75*EBELI*91*1*1;RUE DES PYRENEES;T2;Disponible;Non;127;Oui;BELIB;;RUE DES PYRENEES;75020;Paris;France;48.857094,2.403802
FR*V75*EBELI*91*1*3;RUE DES PYRENEES;Combo;Occupé;Oui;127;Oui;BELIB;;RUE DES PYRENEES;75020;Paris;France;48.857094,2.403802
FR*V75*EBELI*63*1*1;BOULEVARD DES CAPUCINES;T2;Disponible;Non;7;Oui;BELIB;;BOULEVARD DES CAPUCINES;75002;Paris;France;48.870628,2.33321
FR*V75*EBELI*69*1*1;BOULEVARD DIDEROT;T2;Disponible;Non;126;Oui;BELIB;;BOULEVARD DIDEROT;75012;Paris;France;48.847446,2.38804
FR*V75*EBELI*69*1*2;BOULEVARD DIDEROT;E/F;Disponible;Non;126;Oui;BELIB;;BOULEVARD DIDEROT;75012;Paris;France;48.847446,2.38804
FR*V75*EBELI*88*1*2;RUE REGNAULT;E/F;Disponible;Non;118;Oui;BELIB;;RUE REGNAULT;75013;Paris;France;48.82312,2.367798
FR*V75*EBELI*3*1*2;AVENUE DE LA GRANDE ARMEE;E/F;Neutralisé;Non;77;Oui;BELIB;;AVENUE DE LA GRANDE ARMEE;75016;Paris;France;48.876162,2.286403
